Timestamp (ms),Oxygen %
152, 20.71
1302, 20.71
2452, 20.70
3602, 20.70
4752, 20.70
5902, 20.70
7052, 20.70
8202, 20.70
9352, 20.70
10502, 20.70
11652, 20.70
12802, 20.71
13952, 20.71
15102, 20.71
16252, 20.71
17402, 20.71
18552, 20.71
19702, 20.71
20852, 20.72
22002, 20.71
23152, 20.71
24302, 20.71
25452, 20.71
26602, 20.71
27752, 20.71
28902, 20.71
30052, 20.71
31202, 20.71
32352, 20.71
33502, 20.71
34652, 20.71
35802, 20.71
36952, 20.71
38102, 20.71
39252, 20.71
40402, 20.71
41552, 20.71
42702, 20.71
43852, 20.71
45002, 20.71
46152, 20.72
47302, 20.71
48452, 20.72
49602, 20.72
50752, 20.71
51902, 20.71
53052, 20.71
54202, 20.71
55352, 20.71
56502, 20.71
57652, 20.71
58802, 20.71
59952, 20.71
61102, 20.71
62252, 20.71
63402, 20.71
64552, 20.71
65702, 20.72
66852, 20.71
68002, 20.71
69152, 20.71
70302, 20.71
71452, 20.71
72602, 20.71
73752, 20.71
74902, 20.71
76052, 20.71
77202, 20.70
78352, 20.70
79502, 20.71
80652, 20.71
81802, 20.71
82952, 20.72
84102, 20.73
85252, 20.73
86402, 20.74
87552, 20.74
88702, 20.75
89852, 20.75
91002, 20.75
92152, 20.75
93302, 20.74
94452, 20.74
95602, 20.74
96752, 20.74
97902, 20.74
99052, 20.74
100202, 20.74
101352, 20.74
102502, 20.75
103652, 20.75
104802, 20.75
105952, 20.75
107102, 20.76
108252, 20.76
109402, 20.76
110552, 20.76
111702, 20.75
112852, 20.75
114002, 20.75
115152, 20.75
116302, 20.75
117452, 20.75
118602, 20.75
119752, 20.75
120902, 20.75
122052, 20.75
123202, 20.76
124352, 20.76
125502, 20.76
126652, 20.76
127802, 20.76
128952, 20.76
130102, 20.77
131252, 20.77
132402, 20.77
133552, 20.77
134702, 20.77
135852, 20.77
137002, 20.77
138152, 20.77
139302, 20.77
140452, 20.77
141602, 20.77
142752, 20.77
143902, 20.77
145052, 20.77
146202, 20.77
147352, 20.77
148502, 20.77
149652, 20.77
150802, 20.77
151952, 20.77
153102, 20.77
154252, 20.77
155402, 20.77
156552, 20.77
157702, 20.77
158852, 20.77
160002, 20.77
161152, 20.77
162302, 20.77
163452, 20.77
164602, 20.77
165752, 20.77
166902, 20.77
168052, 20.77
169202, 20.77
170352, 20.77
171502, 20.77
172652, 20.77
173802, 20.77
174952, 20.77
176102, 20.77
177252, 20.77
178402, 20.77
179552, 20.77
180702, 20.77
181852, 20.77
183002, 20.77
184152, 20.77
185302, 20.77
186452, 20.77
187602, 20.77
188752, 20.77
189902, 20.77
191052, 20.77
192202, 20.77
193352, 20.77
194502, 20.77
195652, 20.77
196802, 20.77
197952, 20.77
199102, 20.77
200252, 20.77
201402, 20.77
202552, 20.77
203702, 20.77
204852, 20.77
206002, 20.77
207152, 20.77
208302, 20.77
209452, 20.77
210602, 20.77
211752, 20.77
212902, 20.77
214052, 20.77
215202, 20.77
216352, 20.77
217502, 20.77
218652, 20.77
219802, 20.77
220952, 20.77
222102, 20.77
223252, 20.77
224402, 20.77
225552, 20.77
226702, 20.77
227852, 20.77
229002, 20.77
230152, 20.77
231302, 20.77
232452, 20.77
233602, 20.77
234752, 20.77
235902, 20.77
237052, 20.77
238202, 20.77
239352, 20.77
240502, 20.77
241652, 20.77
242802, 20.77
243952, 20.77
245102, 20.77
246252, 20.77
247402, 20.77
248552, 20.77
249702, 20.77
250852, 20.77
252002, 20.77
253152, 20.77
254302, 20.77
255452, 20.77
256602, 20.77
257752, 20.77
258902, 20.77
260052, 20.77
261202, 20.77
262352, 20.77
263502, 20.77
264652, 20.77
265802, 20.77
266952, 20.77
268102, 20.77
269252, 20.77
270402, 20.77
271552, 20.77
272702, 20.77
273852, 20.77
275002, 20.77
276152, 20.77
277302, 20.77
278452, 20.77
279602, 20.77
280752, 20.77
281902, 20.77
283052, 20.77
284202, 20.77
285352, 20.77
286502, 20.77
287652, 20.77
288802, 20.77
289952, 20.77
291102, 20.77
292252, 20.77
293402, 20.77
294552, 20.77
295702, 20.77
296852, 20.77
298002, 20.77
299152, 20.77
300302, 20.77
301452, 20.77
302602, 20.77
303752, 20.77
304902, 20.77
306052, 20.77
307202, 20.77
308352, 20.77
309502, 20.77
310652, 20.77
311802, 20.77
312952, 20.77
314102, 20.77
315252, 20.77
316402, 20.77
317552, 20.77
